Code,Reference,Designation du produit,Code a barre,Prix d'Achat,Prix de Vente 1,Prix de Vente 2,Prix de Vente 3,Prix de Vente 4,Prix de Vente 5,TVA,Stock,Perissable,Avertir avant,Stock minimum,Stock maximum,Avertir quantite,Observation
1,P0001,ABIDA SALADE MECHOUIA,6194024504348,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,f,5,0,0,0, 
2,P0002,ACTION DEBCHEUR 200GR,6130656000063,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,f,5,0,0,0, 
3,P0003,ACTION LAVE VTR,6130656000056,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,f,5,0,0,0, 
4,P0004,activia danon,6130646002930,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,f,5,0,0,0, 
5,P0005,AFIA HUILE 1L,6133136000188,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,f,5,0,0,0, 
6,P0006,AIGLE AU SAVON 1L,6132500257869,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,f,5,0,0,0, 
7,P0007,AIGLE BLACK 1L,6132500255797,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,f,5,0,0,0, 
8,P0008,AIGLE DECAPE FOUR 500ML,6132500252239,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,f,5,0,0,0, 
9,P0009,AIGLE JAVEL 900ML,6132500251966,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,f,5,0,0,0, 
10,P0010,AIGLE LINJE BEBE1L,6132500255155,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,f,5,0,0,0, 
11,P0011,AIGLE MULTI ACTION VTR 500ML,6132500251416,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,f,5,0,0,0, 
12,P0012,AIGLE TOP SOLS,6132500254707,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,f,5,0,0,0, 
